Ont name,Classification time (ms),Reasoner
03b67145-ab35-4049-adab-2a3828d52fbe_russlink.rdf_functional.owl,3772.5,HERMIT
03bbad06-8527-4a7b-8302-5d41750fc99a_Content.owl_functional.owl,2391.5,HERMIT
03cf6bd3-992e-49ac-9c70-9819434059f9_IMR_functional.owl,19253,HERMIT
03d08800-8a69-4aa1-9857-90813d251be8_imitive1.0.owl_functional.owl,2115.5,HERMIT
03d68be9-cd6d-4074-a5e5-8f95620e65a8_lass_514en.owl_functional.owl,122629,HERMIT
03e24645-993e-42b9-a052-65bcc4012e78_Garden_fork.rdf_functional.owl,1961,HERMIT
03e4e6f0-1df3-4a98-afc4-76c620ddde1f_gfo1.0.owl_functional.owl,1830.5,HERMIT
03e7478a-1ce2-48b3-936b-8ed98901f5b2_biotopcore.owl_functional.owl,2384,HERMIT
03e89000-6869-4c1c-95dc-bd069b154b3a_classified.owl_functional.owl,1769,HERMIT
03efc70b-d7f9-414e-a1b1-9dceded61005_MI.owl_functional.owl,4403,HERMIT
03fcfe87-535e-49d7-aeb2-64553009ef30_Pipecutter.ttl_functional.owl,1997.5,HERMIT
04096b24-000d-4d49-94bc-1ee51d41f07e_ontoderm.owl_functional.owl,2146.5,HERMIT
0420188c-4672-401c-bc7d-3515515e86cc_fsm.owl_functional.owl,1705,HERMIT
042205ac-1f9f-4527-bec0-46ac7858cdb1_app_coffee.ttl_functional.owl,2162,HERMIT
0427c170-6eb1-4f21-9600-117d94f416bb_rdDataCube.rdf_functional.owl,3608,HERMIT
0431efde-8b36-4395-9dfd-2cec62ded032_y.obo.PREVIOUS_functional.owl,2674.5,HERMIT
043edf55-a9e6-4b12-9a95-e71da23c61df_moduli.owl_functional.owl,2270,HERMIT
046028ff-d37b-49a0-b2de-5f3ff9900cb8_Process.owl_functional.owl,-1,HERMIT
0463eaf7-2cf5-4049-9049-5333f9ff38f8_rnao.owl2_functional.owl,2348.5,HERMIT
046b927a-8ad5-4078-a70f-8bfdfa4a4339_nt_xp_self.owl_functional.owl,2134.5,HERMIT
047ccf0a-9286-49a2-89fc-caa3a79a1ec4_e.obo.PREVIOUS_functional.owl,3000.5,HERMIT
0486a80c-866b-4b03-aa9a-57a24397668b_xhtml.owl_functional.owl,2581,HERMIT
048b7fc7-f022-4486-a230-6155f31fc110_Grounding.owl_functional.owl,-1,HERMIT
04b652de-64ea-4deb-b959-53ae80e1564b_nterface_1.rdf_functional.owl,1979,HERMIT
04c16c80-5b8d-4268-a97e-13fd44a6f605__functional.owl,1635.5,HERMIT
04e1faf1-332d-4e64-bfdd-39b4d537ece8_Phenom4.0.1.owl_functional.owl,2022.5,HERMIT
04e28aa9-604d-4782-9fd6-3ba1465d29a6_quanCharge.owl_functional.owl,220051,HERMIT
04e6da07-8e3d-4e83-905b-d19593febb07_envoedit.obo_functional.owl,3299.5,HERMIT
05171728-a50a-4215-b79f-ac87d6573460_sion_valve.ttl_functional.owl,1935.5,HERMIT
051e47bd-48b7-4916-96e3-ca208b2b81b5_CBO.owl_functional.owl,1966.5,HERMIT
0533595c-ead5-40f5-a57d-39f8bfd69a04_KategorieNerven_functional.owl,1591.5,HERMIT
055a02d0-c468-4729-ab70-d301b0c99c21_sgenechrom.owl_functional.owl,11040,HERMIT
0585df44-fb95-4fcd-80e7-9abd98c12588_nooneof.nocard_functional.owl,3355,HERMIT
058cece0-8d18-43ff-94f7-42c44c9ac3e1_esg.owl_functional.owl,2538,HERMIT
05aa3148-2984-473a-b4d7-5a97ef55b620_nsynset2D0.rdf_functional.owl,29928.5,HERMIT
05c81160-38fa-4d44-adf8-f8312910554b_CategoryCompany_functional.owl,1569.5,HERMIT
05cef0ca-8f79-453a-90f8-6267336b6cca__phenotype.owl_functional.owl,1550.5,HERMIT
05d8250b-35e1-4604-ac12-7a679b534f50_erminology.owl_functional.owl,1684,HERMIT
060d1a69-aeaa-4b91-996a-628b2efa9d60_ry_biology.owl_functional.owl,1412,HERMIT
0622306d-b199-46cf-a6da-daded8927136_PaulFisher.rdf_functional.owl,1604.5,HERMIT
062bbc2d-af8d-4715-b703-567e1970f793_Tilefish.ttl_functional.owl,1976,HERMIT
06610200-102a-4a37-807b-9e278c430f0a_topOnly623.owl_functional.owl,3600000,HERMIT
0664ecb0-6937-4bd8-8910-8fd0f0586bfb_orca.owl_functional.owl,3600000,HERMIT
066a6af7-677d-4204-9839-23a6730c2d35_nt.obo.CURRENT_functional.owl,1591,HERMIT
0683ced9-e79f-4bc7-a75a-b2c425cdae5d_go.obo_functional.owl,162305,HERMIT
069ccd48-4a1d-4661-9113-e79b1b723425_emillelink.rdf_functional.owl,23698,HERMIT
06c3d283-9910-439e-846e-ad277fb09409_protein.owl_functional.owl,31264.5,HERMIT
06ddeeb6-7d97-4bde-9c9c-4566ed618f3c_den_cheese.ttl_functional.owl,1963,HERMIT
070c05b2-f12f-4b5f-91d1-ba72dc273658_ratio4ta_v3.owl_functional.owl,1321.5,HERMIT
070cf5de-2d18-4c0e-a6bb-5cb35bde2043_action_functional.owl,2198.5,HERMIT
07321a9e-0273-4612-ad18-f82ffd2bace0_transistor.rdf_functional.owl,2109.5,HERMIT
0747f957-3fde-418d-adc2-366c2de266a7_Intel_Core.rdf_functional.owl,1956.5,HERMIT
07755c88-21b7-4e1b-9117-55743e7d9690_spd.obo_functional.owl,2201,HERMIT
077875b6-bcaf-463f-a8f6-08f792ff103a_Salad.ttl_functional.owl,1971.5,HERMIT
077c8aaf-3813-4cec-b2a4-cdf6c82366e2_inalistype.owl_functional.owl,8506,HERMIT
077d65c8-8e5f-435d-bd32-5c8219cb3ad5_CategoryMozCC_functional.owl,1605,HERMIT
07a17151-c37f-4e93-9e65-2c459e27183c_EBI_import.owl_functional.owl,1853.5,HERMIT
07b826f9-ec22-40b7-b361-b407c9e9f70d_Piano.rdf_functional.owl,2040.5,HERMIT
07b96969-c53e-4563-b6fa-496d0371de6f_nent_xp_go.obo_functional.owl,1752,HERMIT
07e27833-0331-44b7-ade8-e93de5c1ee2b_computers.owl_functional.owl,4118,HERMIT
07f1dd31-69eb-4bfd-9d85-4dbcc9104246_event.obo_functional.owl,4134.5,HERMIT
08042387-e4f5-459f-9819-123921abe132_wsdl20.rdf_functional.owl,1810.5,HERMIT
080536e6-efc2-456a-a1eb-c23b2e88799f_ano_cheese.rdf_functional.owl,1964,HERMIT
080a0405-7304-4120-bba4-e1bd322402e6__component.owl_functional.owl,4771.5,HERMIT
083954f3-e343-4b40-9b8b-48559470ee53_DP1.29.owl_functional.owl,1764,HERMIT
0856d8e4-64f6-425d-89d5-90595f814e8f_shing_bait.rdf_functional.owl,2150,HERMIT
085821e4-f162-4e40-9f7c-ef6aec5ce427_bridge_Z88.rdf_functional.owl,2235.5,HERMIT
086bc8fe-9648-4f9c-973e-88f33d5392a1_gastertype.owl_functional.owl,9222.5,HERMIT
0870185e-b96d-42b0-9804-f7f688587d9b_biotoplite.owl_functional.owl,2068.5,HERMIT
088d5b64-c164-45fd-be4d-d16447fb5d1a_M158_JASSM.ttl_functional.owl,1970,HERMIT
0898a3eb-b41b-4dac-931c-75632b5ef305_basic.obo_functional.owl,19987.5,HERMIT
089eca65-5578-4060-bfd8-f7ffcef69986_Cake.ttl_functional.owl,1964,HERMIT
08bc2112-b830-450b-9b27-e0e1cf75ead6_gy.1.3.0.1.owl_functional.owl,8481.5,HERMIT
08c18558-c391-4b1f-84c6-3631d00c948f_protlabels.owl_functional.owl,4430,HERMIT
08c7f3ca-7e26-4083-8063-4b90e4944e2c_siodev.owl_functional.owl,13133,HERMIT
08c8ded8-4aee-4c7a-9e81-5bdc43e570f3_BioMesh.owl_functional.owl,8751,HERMIT
08c913c7-ee48-4766-a817-033ebfe65c98_phenStar.owl_functional.owl,215640,HERMIT
08d5f44e-5e8d-498f-ab9c-ecdc7d27565e_evelopment.obo_functional.owl,1322,HERMIT
08db7b03-f49f-473d-8dc0-74a1e668d2dc_NTNames.owl_functional.owl,1692,HERMIT
08e73f13-cb78-4934-a787-4eae27ffb5d4_figuration.owl_functional.owl,158371.5,HERMIT
08f80613-5e7d-4563-8baf-25460d136ff0_ISADG.owl_functional.owl,1694,HERMIT
090d43b0-344e-41db-9072-677d047e111a_y_clothing.ttl_functional.owl,2010.5,HERMIT
0915e04b-b1f5-4324-99f0-786ff1529057_TRS80.ttl_functional.owl,2089.5,HERMIT
0930a763-1671-495d-9c4d-3e378a3127b5_Pecorino.ttl_functional.owl,2084,HERMIT
094e9c0e-71a7-4a90-9a47-ad5f3fdd251b_owl10b.owl_functional.owl,1677,HERMIT
096a6d73-a68d-4f64-a081-390e0d180a57_onto.rdf_functional.owl,1961,HERMIT
096e5dcc-b8b5-40c5-82f4-2c00eed01ae4_ding_dress.rdf_functional.owl,2275,HERMIT
